,id,isResult,h,a,goals,xG,forecast,year
0,6417,True,"{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'h': '0', 'a': '4'}","{'h': '1.19659', 'a': '2.19129'}","{'w': '0.131', 'd': '0.2141', 'l': '0.6549'}",2014
1,6418,True,"{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'id': '191', 'title': 'Mordovya', 'short_title': 'MOR'}","{'h': '2', 'a': '3'}","{'h': '1.15656', 'a': '2.15557'}","{'w': '0.1037', 'd': '0.2411', 'l': '0.6552'}",2014
2,6419,True,"{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'h': '0', 'a': '4'}","{'h': '0.767575', 'a': '2.48554'}","{'w': '0.0623', 'd': '0.133', 'l': '0.8047'}",2014
3,6420,True,"{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'id': '211', 'title': 'Torpedo Moscow', 'short_title': 'TOR'}","{'h': '4', 'a': '1'}","{'h': '3.13827', 'a': '0.578158'}","{'w': '0.9202', 'd': '0.0655', 'l': '0.0143'}",2014
4,6421,True,"{'id': '190', 'title': 'Dinamo Moscow', 'short_title': 'DIN'}","{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'h': '7', 'a': '3'}","{'h': '4.81401', 'a': '0.600496'}","{'w': '0.9906', 'd': '0.0081', 'l': '0.0013'}",2014
5,6422,True,"{'id': '197', 'title': 'Kuban Krasnodar', 'short_title': 'KUB'}","{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'h': '2', 'a': '0'}","{'h': '2.04538', 'a': '0.0390915'}","{'w': '0.9043', 'd': '0.0918', 'l': '0.0039'}",2014
6,6423,True,"{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'h': '0', 'a': '0'}","{'h': '0.793814', 'a': '0.733761'}","{'w': '0.3275', 'd': '0.3729', 'l': '0.2996'}",2014
7,6424,True,"{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'h': '4', 'a': '0'}","{'h': '2.1776', 'a': '0.325138'}","{'w': '0.8545', 'd': '0.1168', 'l': '0.0287'}",2014
8,6425,True,"{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'h': '0', 'a': '1'}","{'h': '0.360411', 'a': '0.190173'}","{'w': '0.2573', 'd': '0.6102', 'l': '0.1325'}",2014
9,6426,True,"{'id': '197', 'title': 'Kuban Krasnodar', 'short_title': 'KUB'}","{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'h': '2', 'a': '2'}","{'h': '2.05495', 'a': '0.382065'}","{'w': '0.8465', 'd': '0.1234', 'l': '0.0301'}",2014
10,6427,True,"{'id': '191', 'title': 'Mordovya', 'short_title': 'MOR'}","{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'h': '0', 'a': '1'}","{'h': '0.435517', 'a': '1.54445'}","{'w': '0.0675', 'd': '0.212', 'l': '0.7205'}",2014
11,6428,True,"{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'id': '211', 'title': 'Torpedo Moscow', 'short_title': 'TOR'}","{'h': '8', 'a': '1'}","{'h': '5.27931', 'a': '0.971363'}","{'w': '0.9909', 'd': '0.0082', 'l': '0.0009'}",2014
12,6429,True,"{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'h': '1', 'a': '1'}","{'h': '0.427576', 'a': '0.695471'}","{'w': '0.1936', 'd': '0.4245', 'l': '0.3819'}",2014
13,6430,True,"{'id': '190', 'title': 'Dinamo Moscow', 'short_title': 'DIN'}","{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'h': '1', 'a': '2'}","{'h': '0.470186', 'a': '1.2314'}","{'w': '0.0869', 'd': '0.2608', 'l': '0.6523'}",2014
14,6431,True,"{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'h': '1', 'a': '1'}","{'h': '0.537186', 'a': '1.05965'}","{'w': '0.1418', 'd': '0.3182', 'l': '0.54'}",2014
15,6432,True,"{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'h': '0', 'a': '2'}","{'h': '0.793735', 'a': '2.19601'}","{'w': '0.0966', 'd': '0.1751', 'l': '0.7283'}",2014
16,6433,True,"{'id': '211', 'title': 'Torpedo Moscow', 'short_title': 'TOR'}","{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'h': '1', 'a': '1'}","{'h': '0.954046', 'a': '0.617434'}","{'w': '0.4241', 'd': '0.3598', 'l': '0.2161'}",2014
17,6434,True,"{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'id': '190', 'title': 'Dinamo Moscow', 'short_title': 'DIN'}","{'h': '0', 'a': '2'}","{'h': '1.29986', 'a': '1.15316'}","{'w': '0.3854', 'd': '0.3201', 'l': '0.2945'}",2014
18,6435,True,"{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'h': '1', 'a': '2'}","{'h': '0.501385', 'a': '1.36352'}","{'w': '0.1116', 'd': '0.2704', 'l': '0.618'}",2014
19,6436,True,"{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'h': '0', 'a': '0'}","{'h': '1.25115', 'a': '0.75607'}","{'w': '0.4954', 'd': '0.2998', 'l': '0.2048'}",2014
20,6437,True,"{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'h': '1', 'a': '0'}","{'h': '1.16511', 'a': '1.12884'}","{'w': '0.3471', 'd': '0.3156', 'l': '0.3373'}",2014
21,6438,True,"{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'h': '2', 'a': '1'}","{'h': '1.13475', 'a': '1.13306'}","{'w': '0.3257', 'd': '0.3382', 'l': '0.3361'}",2014
22,6439,True,"{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'h': '4', 'a': '0'}","{'h': '3.24782', 'a': '0.253954'}","{'w': '0.9756', 'd': '0.0206', 'l': '0.0038'}",2014
