year,month,h,a,hxg,axg,matches
2014,8,1.6,0.8,1.22330214753747,1.1968238096684218,20
2014,9,1.325,1.325,1.492915179207921,0.9138265794143081,40
2014,10,1.7419,1.1613,1.6130799170463317,1.0657708971731124,31
2014,11,1.4737,1.1579,1.3397062524761025,1.23302247973257,38
2014,12,1.3667,1.0333,1.384107062717279,0.9173638994495074,30
2015,1,1.4222,1.1333,1.4897649149099985,1.0739528212282392,45
2015,2,1.7317,1.0488,1.721105752921686,1.1679124439634927,41
2015,3,1.3714,0.8286,1.5485955063785826,1.0464614482862609,35
2015,4,1.6667,0.9667,1.6369362577795983,1.0848827250301838,60
2015,5,1.625,1.6,1.4961233483627439,1.3217121463268995,40
2015,8,1.05,0.7,1.153529453277588,1.0153147991746665,20
2015,9,1.375,1.275,1.5568629570305348,1.2736624766141176,40
2015,10,1.8286,1.1714,1.6959354077066695,1.3530921095183917,35
2015,11,1.3429,1.1714,1.352619203073638,1.233433570606368,35
2015,12,1.5897,0.8462,1.5285059530765583,0.8543351363295164,39
2016,1,2.102,1.102,1.843025379339043,1.1720934929896374,49
2016,2,1.4762,1.2381,1.6959478809010415,1.2844033656375748,42
2016,3,1.775,1.25,1.5815972588956355,1.1780586246401072,40
2016,4,1.5741,1.1111,1.5932330718194996,1.1498124789860513,54
2016,5,1.7308,1.2308,1.4754354300407262,1.2662592375507722,26
2016,8,1.55,1.3,1.3874047808349133,0.9083644727244973,20
2016,9,1.4878,1.3902,1.4149968565964117,1.119524265389617,41
2016,10,1.9231,1.4615,1.4672336742663994,1.076066820189739,39
2016,11,1.5333,1.0667,1.3504188512762387,1.0710586155454318,30
2016,12,1.7241,1.1379,1.3246700070027648,1.1270577938392246,29
2017,1,1.55,1.125,1.3378291048109532,0.8923687033355236,40
2017,2,1.5952,1.2857,1.4499707931563968,1.0398671688245875,42
2017,3,1.7436,1.2051,1.6202736428150764,0.9495110776370916,39
2017,4,1.6324,1.3529,1.4739547563607203,1.1411083929021568,68
2017,5,1.9063,1.3438,1.5911350008100271,1.1484451487194747,32
2017,8,1.05,1.25,1.6826237916946412,0.9672783583402633,20
2017,9,1.6444,1.1556,1.7170847912629446,1.1139388862583373,45
2017,10,1.6286,1.2857,1.61358802148274,1.1822943193571909,35
2017,11,1.7,1.3333,1.5503067632516225,1.1874494343996047,30
2017,12,1.2564,0.8718,1.6502373615900676,1.1482394608931663,39
2018,1,1.75,1.45,1.7778713598847389,1.1741495963186026,40
2018,2,1.7083,0.8958,1.535817957483232,0.9438138157129288,48
2018,3,1.4865,1.027,1.5367311666140686,1.0416407359612954,37
2018,4,1.3148,0.9815,1.5235560232842411,1.2262760251415548,54
2018,5,1.8125,1.5,1.718116007745266,1.2476678672246635,32
2018,8,1.087,1.1739,1.3250761667023534,1.2858610882869232,23
2018,9,1.3556,1.2889,1.5178890724976857,1.2114725298351712,45
2018,10,1.4375,0.9375,1.4834747537970543,1.0974896838888526,32
2018,11,1.4839,1.2258,1.6588612583375746,1.1658005483688847,31
2018,12,1.3947,1.1316,1.594798550793999,1.314092343575076,38
2019,1,1.6585,1.0976,1.6937783418632135,1.0881418149645736,41
2019,2,1.35,0.95,1.6619900211691856,1.0665309455245733,40
2019,3,1.275,1.45,1.5957305882126094,1.373704649694264,40
2019,4,1.6167,0.9333,1.5955117382109165,1.1492283143103124,60
2019,5,1.7,1.2667,1.6876657356818516,1.1625731632113456,30
2019,8,1.2308,1.0385,1.4183811453672557,1.0438884233052914,26
2019,9,1.4773,1.1136,1.543476420708678,1.1571713091636247,44
2019,10,1.7949,0.7692,1.6875630510159028,1.038686481423867,39
2019,11,1.5143,1.2286,1.455109311427389,1.238059433230332,35
2019,12,1.6667,1.1111,1.7798558904065027,1.1236858653525512,36
2020,1,1.2667,0.8667,1.3660835653543473,0.9980733032027881,30
2020,2,1.5909,1.0,1.5631975460458885,1.0287294758653098,44
2020,3,1.1875,1.1875,1.5668460703454912,1.0925075728446245,16
2020,6,1.3962,1.0189,1.2980445120132194,1.1046714804504278,53
2020,7,1.1404,1.1228,1.1998210429099567,1.0798997828050663,57
2020,9,1.3667,1.0667,1.3856140370170276,1.1159931684533755,30
2020,10,0.9737,1.0789,1.0738030123083215,1.1070373450454913,38
2020,11,1.6571,1.1429,1.740979350890432,1.2695295691490174,35
2020,12,1.3462,1.0192,1.312605548936587,1.165513451067874,52
2021,1,1.3469,1.3878,1.1905146076971171,1.1464828499117676,49
2021,2,1.4419,1.093,1.5404165174032367,0.98318778550209,43
2021,3,1.3636,1.0606,1.4954498527628002,1.213046870899923,33
2021,4,1.3333,1.1765,1.3459052607124926,1.193789214480157,51
2021,5,1.4898,1.1633,1.2697911153034287,1.1239237590711944,49
2021,8,1.2,0.9,1.454633096853892,0.9380036565164726,30
2021,9,1.4474,1.1579,1.4001806048970473,1.1090020027599836,38
2021,10,1.4348,0.9783,1.4282501801524474,1.091742609506068,46
2021,11,1.2813,1.375,1.2491346234455705,1.3882276881486177,32
2021,12,1.6667,1.1111,1.4238357428047392,1.2832384386824236,36
2022,1,1.4286,1.0286,1.515895457778658,1.0005951334323202,35
2022,2,1.6829,1.0976,1.5681780151477673,1.171565970269645,41
2022,3,1.2903,1.0,1.5473992966355816,1.1092560702273924,31
2022,4,1.3696,1.1304,1.5600090872334398,1.23510216338479,46
2022,5,1.3333,1.0444,1.5694396644830704,1.1730392522282072,45
2022,8,0.9333,1.4,1.3065856625636418,1.4133099347352982,30
2022,9,1.8387,1.1613,1.8767046712098583,1.2363809747020564,31
2022,10,1.4237,1.0847,1.50392448270725,1.107234626250752,59
2022,11,1.3,0.95,1.4418019458651543,0.9967930153012275,20
